starttime	seconds	ctime	dtime	ttime	wait
Sun Feb 26 13:49:32 2017	1488138572	0	1349	1350	2
Sun Feb 26 13:49:36 2017	1488138576	1	1350	1350	1
Sun Feb 26 13:49:32 2017	1488138572	0	1351	1351	1
Sun Feb 26 13:49:43 2017	1488138583	0	1351	1351	0
Sun Feb 26 13:49:50 2017	1488138590	0	1351	1351	1
Sun Feb 26 13:49:28 2017	1488138568	2	1351	1352	1
Sun Feb 26 13:49:50 2017	1488138590	0	1352	1353	1
Sun Feb 26 13:49:46 2017	1488138586	0	1352	1353	1
Sun Feb 26 13:49:43 2017	1488138583	1	1352	1353	0
Sun Feb 26 13:49:32 2017	1488138572	0	1354	1355	1
Sun Feb 26 13:49:50 2017	1488138590	1	1354	1355	1
Sun Feb 26 13:49:50 2017	1488138590	1	1355	1355	1
Sun Feb 26 13:49:50 2017	1488138590	0	1355	1355	0
Sun Feb 26 13:49:33 2017	1488138573	0	1356	1357	1
Sun Feb 26 13:49:41 2017	1488138581	1	1356	1357	1
Sun Feb 26 13:49:40 2017	1488138580	0	1357	1357	1
Sun Feb 26 13:49:50 2017	1488138590	0	1357	1357	1
Sun Feb 26 13:49:52 2017	1488138592	0	1357	1358	1
Sun Feb 26 13:49:42 2017	1488138582	0	1357	1358	1
Sun Feb 26 13:49:46 2017	1488138586	0	1358	1359	1
Sun Feb 26 13:49:36 2017	1488138576	0	1358	1359	1
Sun Feb 26 13:49:05 2017	1488138545	1	1358	1359	2
Sun Feb 26 13:49:50 2017	1488138590	1	1358	1359	1
Sun Feb 26 13:49:45 2017	1488138585	0	1359	1359	1
Sun Feb 26 13:49:50 2017	1488138590	0	1359	1360	1
Sun Feb 26 13:49:50 2017	1488138590	0	1360	1360	1
Sun Feb 26 13:49:50 2017	1488138590	2	1358	1360	0
Sun Feb 26 13:49:50 2017	1488138590	0	1360	1360	1
Sun Feb 26 13:49:43 2017	1488138583	0	1361	1361	1
Sun Feb 26 13:49:50 2017	1488138590	0	1361	1361	0
Sun Feb 26 13:49:50 2017	1488138590	0	1362	1362	1
Sun Feb 26 13:49:40 2017	1488138580	0	1363	1363	1
Sun Feb 26 13:49:36 2017	1488138576	0	1363	1363	1
Sun Feb 26 13:49:45 2017	1488138585	0	1364	1364	0
Sun Feb 26 13:49:50 2017	1488138590	0	1364	1365	1
Sun Feb 26 13:49:40 2017	1488138580	0	1365	1365	0
